1000000,79.72322,4.5343
3.20E+06,90.76381,4.23962
5.40E+06,91.78133,5.6182
7.60E+06,93.13784,7.05345
9.80E+06,94.15879,7.92945
1.20E+07,95.53892,8.7035
1.42E+07,96.47078,9.11475
1.64E+07,97.36044,9.3534
1.86E+07,98.86943,10.34015
2.08E+07,98.71146,10.0836
2.30E+07,99.43532,10.57076
2.52E+07,99.80043,12.0278
2.74E+07,100.88864,10.72087
2.96E+07,101.3221,10.93294
3.18E+07,101.58182,11.46327
3.40E+07,101.74894,11.35026
3.62E+07,102.44073,11.13637
3.84E+07,102.70841,11.44651
4.06E+07,103.26029,11.49666
4.28E+07,103.5943,11.61466
4.50E+07,103.98607,11.81589
4.72E+07,104.36676,12.07244
4.94E+07,104.7642,12.22187
5.16E+07,105.01406,12.30875
5.38E+07,105.24868,11.65711
5.60E+07,105.6471,12.42663
5.82E+07,106.02208,12.50774
6.04E+07,106.27183,12.81674
6.26E+07,106.5854,12.88183
6.48E+07,106.69927,12.86952
6.70E+07,106.94511,13.05473
6.92E+07,107.33684,13.30904
7.14E+07,107.76067,13.37682
7.36E+07,108.05487,13.52655
7.58E+07,108.31009,13.47011
7.80E+07,108.47922,13.50042
8.02E+07,108.6414,13.83395
8.24E+07,108.82304,13.9636
8.46E+07,109.15969,13.93342
8.68E+07,109.30192,13.95203
8.90E+07,109.65146,13.9959
9.12E+07,109.78609,14.1735
9.34E+07,110.11843,14.38135
9.56E+07,110.18416,14.48307
9.78E+07,110.43212,14.55486
1.00E+08,110.64682,14.50233
1.02E+08,110.9216,14.60918
1.04E+08,110.98726,14.80003
1.07E+08,111.20755,14.88787
1.09E+08,111.46591,14.98024
1.11E+08,111.49174,15.1613
1.13E+08,111.81277,15.12897
1.15E+08,111.94409,15.21716
1.18E+08,112.13665,15.46825
1.20E+08,112.42912,15.62226
1.22E+08,112.58822,15.54876
1.24E+08,112.69615,15.41429
1.26E+08,112.8261,15.56764
1.29E+08,113.06998,15.6659
1.31E+08,113.30224,15.68063
1.33E+08,113.48508,15.79453
1.35E+08,113.54837,16.04484
1.37E+08,113.70601,16.11697
1.40E+08,113.83998,16.17815
1.42E+08,113.96653,16.16344
1.44E+08,114.31987,16.26963
1.46E+08,114.30442,16.31897
1.48E+08,114.408,16.44736
1.51E+08,114.60137,16.37621
1.53E+08,114.60558,16.30522
1.55E+08,114.92068,16.44375
1.57E+08,115.21908,16.47641
1.59E+08,115.34903,16.84729
1.62E+08,115.40263,16.89417
1.64E+08,115.51061,16.75597
1.66E+08,115.61257,16.8688
1.68E+08,115.85385,16.97755
1.70E+08,115.93222,17.04697
1.73E+08,116.10985,17.18255
1.75E+08,116.37029,17.11093
1.77E+08,116.58148,17.23718
1.79E+08,116.85112,17.21887
1.81E+08,116.97611,17.3434
1.84E+08,117.07178,17.39736
1.86E+08,117.10571,17.38891
1.88E+08,117.42947,17.36241
1.90E+08,117.5467,17.38449
1.92E+08,117.56187,17.48085
1.95E+08,117.67946,17.61266
1.97E+08,117.823,17.61102
1.99E+08,118.01705,17.69385
2.01E+08,118.18564,17.9941
2.03E+08,118.33134,17.81703
2.06E+08,118.47319,17.80021
2.08E+08,118.56444,17.91442
2.10E+08,118.7573,17.99064
2.12E+08,118.84715,17.87313
2.14E+08,118.86945,17.92276
2.17E+08,119.10808,17.92278
2.19E+08,119.2022,17.9958
2.21E+08,119.49902,18.04573
2.23E+08,119.52371,18.13008
2.25E+08,119.73176,18.13637
2.28E+08,119.67048,18.24991
2.30E+08,119.97896,18.32601
